nm, A
800.000000, 0.001039
799.000000, -0.000341
798.000000, 0.003691
797.000000, -0.000281
796.000000, 0.002395
795.000000, 0.003578
794.000000, 0.003048
793.000000, 0.001478
792.000000, 0.006634
791.000000, 0.002026
790.000000, 0.003132
789.000000, 0.001628
788.000000, 0.000028
787.000000, 0.002611
786.000000, 0.003987
785.000000, 0.001166
784.000000, 0.004462
783.000000, 0.004783
782.000000, 0.001141
781.000000, 0.000137
780.000000, 0.000444
779.000000, 0.001330
778.000000, 0.002894
777.000000, 0.003424
776.000000, 0.002487
775.000000, 0.003150
774.000000, 0.000303
773.000000, 0.002736
772.000000, 0.003559
771.000000, 0.002236
770.000000, 0.003289
769.000000, 0.001850
768.000000, 0.003990
767.000000, 0.002955
766.000000, 0.001534
765.000000, 0.003231
764.000000, 0.002202
763.000000, 0.001581
762.000000, 0.002204
761.000000, 0.002464
760.000000, 0.003963
759.000000, 0.005012
758.000000, 0.002677
757.000000, 0.002258
756.000000, 0.002813
755.000000, 0.001788
754.000000, 0.003282
753.000000, 0.004000
752.000000, 0.003092
751.000000, 0.001061
750.000000, 0.001247
749.000000, 0.001660
748.000000, 0.001754
747.000000, 0.003432
746.000000, 0.002688
745.000000, 0.002382
744.000000, 0.002825
743.000000, 0.003445
742.000000, 0.004114
741.000000, 0.004087
740.000000, 0.003467
739.000000, 0.003585
738.000000, 0.004509
737.000000, 0.003494
736.000000, 0.004272
735.000000, 0.004233
734.000000, 0.002113
733.000000, 0.002362
732.000000, 0.002979
731.000000, 0.001979
730.000000, 0.002638
729.000000, 0.003763
728.000000, 0.001076
727.000000, 0.001462
726.000000, 0.002562
725.000000, 0.002588
724.000000, 0.002896
723.000000, 0.002629
722.000000, 0.003569
721.000000, 0.003401
720.000000, 0.002881
719.000000, 0.002808
718.000000, 0.003947
717.000000, 0.005187
716.000000, 0.003662
715.000000, 0.002008
714.000000, 0.001718
713.000000, 0.003064
712.000000, 0.003671
711.000000, 0.003309
710.000000, 0.002230
709.000000, 0.001810
708.000000, 0.001213
707.000000, 0.001169
706.000000, 0.002598
705.000000, 0.003472
704.000000, 0.003741
703.000000, 0.003878
702.000000, 0.002565
701.000000, 0.002381
700.000000, 0.003541
699.000000, 0.004000
698.000000, 0.003065
697.000000, 0.002796
696.000000, 0.002368
695.000000, 0.001346
694.000000, 0.002277
693.000000, 0.003373
692.000000, 0.003177
691.000000, 0.002372
690.000000, 0.002056
689.000000, 0.003107
688.000000, 0.003624
687.000000, 0.004240
686.000000, 0.004272
685.000000, 0.003342
684.000000, 0.003388
683.000000, 0.002923
682.000000, 0.003678
681.000000, 0.003684
680.000000, 0.003106
679.000000, 0.002837
678.000000, 0.002063
677.000000, 0.002218
676.000000, 0.003168
675.000000, 0.003046
674.000000, 0.003570
673.000000, 0.003948
672.000000, 0.002690
671.000000, 0.002163
670.000000, 0.003835
669.000000, 0.003295
668.000000, 0.002690
667.000000, 0.002558
666.000000, 0.002964
665.000000, 0.002475
664.000000, 0.003653
663.000000, 0.004289
662.000000, 0.003856
661.000000, 0.003525
660.000000, 0.003251
659.000000, 0.002601
658.000000, 0.003036
657.000000, 0.004561
656.000000, 0.004924
655.000000, 0.003750
654.000000, 0.002553
653.000000, 0.003223
652.000000, 0.003457
651.000000, 0.003001
650.000000, 0.003252
649.000000, 0.002592
648.000000, 0.003048
647.000000, 0.001878
646.000000, 0.003794
645.000000, 0.004872
644.000000, 0.004188
643.000000, 0.003284
642.000000, 0.003224
641.000000, 0.002189
640.000000, 0.003779
639.000000, 0.003316
638.000000, 0.004190
637.000000, 0.003615
636.000000, 0.002065
635.000000, 0.002310
634.000000, 0.003479
633.000000, 0.004496
632.000000, 0.002767
631.000000, 0.002515
630.000000, 0.002311
629.000000, 0.003539
628.000000, 0.003673
627.000000, 0.004344
626.000000, 0.005552
625.000000, 0.004182
624.000000, 0.001407
623.000000, 0.003375
622.000000, 0.005549
621.000000, 0.003179
620.000000, 0.004128
619.000000, 0.002453
618.000000, 0.002989
617.000000, 0.003730
616.000000, 0.002928
615.000000, 0.002752
